orderId,orderName,address,latitude,longitude,deliveryWeight,deliveryVolume,vehicleType,serviceTime,zoneCode,deliveryDate,branchId,centerId,itemType,itemName,desiredDeliveryTime,openTime,closeTime,seq,updateDate
ORD-20260911-011,바다로 강서지점 · 냉장 고등어,서울특별시 강서구 화곡로 302,37.5506590,126.8497700,110,0.44,02,10,SEOUL,2026-09-11,S06,CENTER-NR,냉장,냉장 고등어,11:30,1100,1200,11,2026-09-11 06:00:00
ORD-20260911-012,바다로 강서지점 · 냉동 오징어,서울특별시 강서구 화곡로 302,37.5506590,126.8497700,70,0.28,02,10,SEOUL,2026-09-11,S06,CENTER-NR,냉동,냉동 오징어,11:30,1100,1200,12,2026-09-11 06:00:00
ORD-20260911-013,바다로 구로지점 · 냉동 오징어,서울특별시 구로구 가마산로 245,37.4955112,126.8882948,80,0.32,02,10,SEOUL,2026-09-11,S07,CENTER-NR,냉동,냉동 오징어,11:00,1030,1130,13,2026-09-11 06:00:00
ORD-20260911-014,바다로 구로지점 · 다시마,서울특별시 구로구 가마산로 245,37.4955112,126.8882948,20,0.08,01,10,SEOUL,2026-09-11,S07,CENTER-NR,일반,다시마,11:00,1030,1130,14,2026-09-11 06:00:00
ORD-20260911-015,바다로 금천지점 · 다시마,서울특별시 금천구 시흥대로73길 70,37.4568996,126.8953809,25,0.1,01,10,SEOUL,2026-09-11,S08,CENTER-NR,일반,다시마,11:30,1100,1200,15,2026-09-11 06:00:00
ORD-20260911-016,바다로 금천지점 · 활우럭,서울특별시 금천구 시흥대로73길 70,37.4568996,126.8953809,90,0.36,99,10,SEOUL,2026-09-11,S08,CENTER-NR,활어,활우럭,11:30,1100,1200,16,2026-09-11 06:00:00
ORD-20260911-017,바다로 관악지점 · 활광어,서울특별시 관악구 관악로 145,37.4784684,126.9511015,100,0.4,99,10,SEOUL,2026-09-11,S09,CENTER-NR,활어,활광어,12:00,1130,1230,17,2026-09-11 06:00:00
ORD-20260911-018,바다로 관악지점 · 냉장 연어,서울특별시 관악구 관악로 145,37.4784684,126.9511015,70,0.28,02,10,SEOUL,2026-09-11,S09,CENTER-NR,냉장,냉장 연어,12:00,1130,1230,18,2026-09-11 06:00:00
ORD-20260911-019,바다로 서초지점 · 냉장 연어,서울특별시 서초구 남부순환로 2584,37.4836087,127.0327736,80,0.32,02,10,SEOUL,2026-09-11,S10,CENTER-NR,냉장,냉장 연어,12:30,1200,1300,19,2026-09-11 06:00:00
ORD-20260911-020,바다로 서초지점 · 냉동 새우,서울특별시 서초구 남부순환로 2584,37.4836087,127.0327736,110,0.44,02,10,SEOUL,2026-09-11,S10,CENTER-NR,냉동,냉동 새우,12:30,1200,1300,20,2026-09-11 06:00:00
ORD-20260911-021,바다로 강남지점 · 냉동 새우,서울특별시 강남구 압구정로 165,37.5273929,127.0275065,70,0.28,02,10,SEOUL,2026-09-11,S11,CENTER-NR,냉동,냉동 새우,12:00,1130,1230,21,2026-09-11 06:00:00
ORD-20260911-022,바다로 강남지점 · 건미역,서울특별시 강남구 압구정로 165,37.5273929,127.0275065,40,0.16,01,10,SEOUL,2026-09-11,S11,CENTER-NR,일반,건미역,12:00,1130,1230,22,2026-09-11 06:00:00
ORD-20260911-023,바다로 송파지점 · 건미역,서울특별시 송파구 올림픽로 326,37.5145656,127.1060321,45,0.18,01,10,SEOUL,2026-09-11,S12,CENTER-NR,일반,건미역,12:30,1200,1300,23,2026-09-11 06:00:00
ORD-20260911-024,바다로 송파지점 · 활광어,서울특별시 송파구 올림픽로 326,37.5145656,127.1060321,130,0.52,99,10,SEOUL,2026-09-11,S12,CENTER-NR,활어,활광어,12:30,1200,1300,24,2026-09-11 06:00:00
ORD-20260911-025,바다로 강동지점 · 활우럭,서울특별시 강동구 천호대로 1005,37.5389380,127.1240730,80,0.32,99,10,SEOUL,2026-09-11,S13,CENTER-NR,활어,활우럭,13:00,1230,1330,25,2026-09-11 06:00:00
ORD-20260911-026,바다로 강동지점 · 냉장 고등어,서울특별시 강동구 천호대로 1005,37.5389380,127.1240730,110,0.44,02,10,SEOUL,2026-09-11,S13,CENTER-NR,냉장,냉장 고등어,13:00,1230,1330,26,2026-09-11 06:00:00
ORD-20260911-027,바다로 광진지점 · 냉장 고등어,서울특별시 광진구 자양로 117,37.5384976,127.0819157,120,0.48,02,10,SEOUL,2026-09-11,S14,CENTER-NR,냉장,냉장 고등어,13:30,1300,1400,27,2026-09-11 06:00:00
ORD-20260911-028,바다로 광진지점 · 냉동 오징어,서울특별시 광진구 자양로 117,37.5384976,127.0819157,100,0.4,02,10,SEOUL,2026-09-11,S14,CENTER-NR,냉동,냉동 오징어,13:30,1300,1400,28,2026-09-11 06:00:00
ORD-20260911-029,바다로 성동지점 · 냉동 오징어,서울특별시 성동구 고산자로 270,37.5634661,127.0368984,110,0.44,02,10,SEOUL,2026-09-11,S15,CENTER-NR,냉동,냉동 오징어,13:00,1230,1330,29,2026-09-11 06:00:00
ORD-20260911-030,바다로 성동지점 · 다시마,서울특별시 성동구 고산자로 270,37.5634661,127.0368984,30,0.12,01,10,SEOUL,2026-09-11,S15,CENTER-NR,일반,다시마,13:00,1230,1330,30,2026-09-11 06:00:00
ORD-20260911-031,바다로 동대문지점 · 다시마,서울특별시 동대문구 천호대로 145,37.5745240,127.0396500,35,0.14,01,10,SEOUL,2026-09-11,S16,CENTER-NR,일반,다시마,13:30,1300,1400,31,2026-09-11 06:00:00
ORD-20260911-032,바다로 동대문지점 · 활우럭,서울특별시 동대문구 천호대로 145,37.5745240,127.0396500,110,0.44,99,10,SEOUL,2026-09-11,S16,CENTER-NR,활어,활우럭,13:30,1300,1400,32,2026-09-11 06:00:00
ORD-20260911-033,바다로 중랑지점 · 활광어,서울특별시 중랑구 봉화산로 179,37.6063242,127.0925842,120,0.48,99,10,SEOUL,2026-09-11,S17,CENTER-NR,활어,활광어,14:00,1330,1430,33,2026-09-11 06:00:00
ORD-20260911-034,바다로 중랑지점 · 냉장 연어,서울특별시 중랑구 봉화산로 179,37.6063242,127.0925842,80,0.32,02,10,SEOUL,2026-09-11,S17,CENTER-NR,냉장,냉장 연어,14:00,1330,1430,34,2026-09-11 06:00:00
ORD-20260911-035,바다로 성북지점 · 냉장 연어,서울특별시 성북구 보문로 168,37.5894684,127.0168275,90,0.36,02,10,SEOUL,2026-09-11,S18,CENTER-NR,냉장,냉장 연어,14:30,1400,1500,35,2026-09-11 06:00:00
ORD-20260911-036,바다로 성북지점 · 냉동 새우,서울특별시 성북구 보문로 168,37.5894684,127.0168275,90,0.36,02,10,SEOUL,2026-09-11,S18,CENTER-NR,냉동,냉동 새우,14:30,1400,1500,36,2026-09-11 06:00:00
ORD-20260911-037,바다로 용산지점 · 냉동 새우,서울특별시 용산구 녹사평대로 150,37.5325270,126.9904900,100,0.4,02,10,SEOUL,2026-09-11,S19,CENTER-NR,냉동,냉동 새우,14:00,1330,1430,37,2026-09-11 06:00:00
ORD-20260911-038,바다로 용산지점 · 건미역,서울특별시 용산구 녹사평대로 150,37.5325270,126.9904900,20,0.08,01,10,SEOUL,2026-09-11,S19,CENTER-NR,일반,건미역,14:00,1330,1430,38,2026-09-11 06:00:00
ORD-20260911-039,바다로 중구지점 · 건미역,서울특별시 중구 남대문로 81,37.5648738,126.9817344,25,0.1,01,10,SEOUL,2026-09-11,S20,CENTER-NR,일반,건미역,14:30,1400,1500,39,2026-09-11 06:00:00
ORD-20260911-040,바다로 중구지점 · 활광어,서울특별시 중구 남대문로 81,37.5648738,126.9817344,90,0.36,99,10,SEOUL,2026-09-11,S20,CENTER-NR,활어,활광어,14:30,1400,1500,40,2026-09-11 06:00:00
